2026-04-27|18:15:32|new keyboard|apple|45.37
2026-04-28|09:10:19|book purchase|amazon|-32.35
2026-04-28|09:15:44|monitor|amazon|-254.24
2026-04-28|17:14:37|cable refund|amazon|12.05
2026-04-28|17:14:51|usb hub|amazon|-52.34
2026-04-28|18:10:33|cat toys|kitties|-20.12
2026-07-28|12:00:00|groceries|Walmart|-487.23
2026-02-28|12:00:00|tax refund|Target|612.55
2026-11-28|12:00:00|bulk shopping|Costco|-129.78
2026-04-28|12:00:00|paycheck|Apple|354.91
2026-09-28|12:00:00|morning coffee|Starbucks|-87.42
2026-01-28|12:00:00|sponsorship|Nike|923.18
2026-12-28|12:00:00|new headphones|Best Buy|-256.07
2026-06-28|12:00:00|tools|Home Depot|471.66
2026-03-28|12:00:00|subscription|Netflix|-43.99
2026-10-28|12:00:00|premium plan|Spotify|198.34
2025-12-27|12:00:00|TV purchase|Best Buy|-256.07
2025-06-27|12:00:00|garden supplies|Home Depot|471.66
2025-03-27|12:00:00|movie rental|Netflix|-43.99
2025-10-27|12:00:00|family plan|Spotify|198.34
2026-04-29|16:13:46|ad revenue|Google|236.45
2026-04-29|16:14:47|monthly fee|netflix|-32.99
